id,label
0,9
1,65
2,65
3,65
4,9
5,65
6,65
7,65
8,65
9,65
10,65
11,65
12,65
13,65
14,9
15,65
16,65
17,65
18,65
19,65
20,65
21,65
22,65
23,65
24,65
25,65
26,65
27,65
28,65
29,65
30,65
31,65
32,65
33,65
34,65
35,65
36,65
37,65
38,65
39,65
40,65
41,65
42,65
43,65
44,65
45,65
46,65
47,65
48,65
49,65
50,65
51,65
52,65
53,65
54,65
55,65
56,65
57,65
58,65
59,65
60,65
61,9
62,65
63,65
64,65
65,65
66,65
67,65
68,65
69,65
70,65
71,65
72,65
73,65
74,65
75,65
76,65
77,65
78,65
79,65
80,65
81,65
82,65
83,65
84,65
85,65
86,65
87,65
88,65
89,65
90,65
91,65
92,9
93,65
94,65
95,65
96,65
97,65
98,65
99,65
100,65
101,65
102,65
103,65
104,65
105,65
106,65
107,65
108,65
109,65
110,65
111,65
112,65
113,65
114,65
115,65
116,65
117,65
118,65
119,9
120,65
121,65
122,65
123,65
124,65
125,65
126,65
127,65
128,9
129,65
130,65
131,65
132,65
133,65
134,65
135,65
136,65
137,65
138,9
139,65
140,65
141,65
142,65
143,65
144,65
145,65
146,65
147,9
148,65
149,65
150,65
151,65
152,65
153,65
154,65
155,65
156,65
157,65
158,65
159,65
160,65
161,65
162,65
163,65
164,65
165,65
166,65
167,9
168,65
169,65
170,65
171,65
172,65
173,9
174,65
175,65
176,65
177,65
178,65
179,65
180,65
181,9
182,65
183,65
184,65
185,65
186,65
187,65
188,65
189,65
190,65
191,65
192,65
193,65
194,65
195,65
196,65
197,65
198,65
199,65
200,65
201,65
202,65
203,65
204,65
205,65
206,65
207,65
208,9
209,65
210,65
211,65
212,65
213,65
214,65
215,65
216,9
217,9
218,65
219,65
220,65
221,65
222,65
223,65
224,65
225,9
226,65
227,65
228,65
229,65
230,65
231,65
232,65
233,65
234,65
235,65
236,65
237,65
238,65
239,65
240,65
241,65
242,65
243,65
244,65
245,65
246,65
247,65
248,65
249,65
250,65
251,65
252,65
253,9
254,65
255,65
256,65
257,65
258,65
259,65
260,65
261,65
262,47
263,65
264,65
265,65
266,65
267,65
268,65
269,65
270,65
271,65
272,65
273,65
274,9
275,65
276,65
277,65
278,65
279,65
280,9
281,65
282,65
283,65
284,65
285,65
286,65
287,65
288,65
289,65
290,65
291,65
292,65
293,65
294,9
295,65
296,65
297,65
298,65
299,65
300,9
301,65
302,65
303,65
304,65
305,65
306,65
307,65
308,65
309,65
310,65
311,65
312,65
313,65
314,65
315,65
316,9
317,65
318,65
319,65
320,65
321,65
322,65
323,65
324,65
325,65
326,9
327,65
328,65
329,65
330,65
331,65
332,65
333,65
334,9
335,65
336,65
337,9
338,65
339,65
340,65
341,65
342,65
343,65
344,65
345,65
346,65
347,9
348,65
349,65
350,65
351,65
352,9
353,65
354,65
355,65
356,65
357,65
358,65
359,65
360,65
361,9
362,65
363,65
364,65
365,65
366,65
367,65
368,65
369,65
370,65
371,65
372,65
373,65
374,65
375,65
376,65
377,65
378,65
379,65
380,65
381,65
382,65
383,65
384,65
385,65
386,9
387,65
388,65
389,65
390,65
391,65
392,65
393,65
394,65
395,65
396,9
397,65
398,65
399,65
400,65
401,9
402,65
403,65
404,65
405,65
406,65
407,65
408,65
409,65
410,47
411,65
412,65
413,65
414,65
415,65
416,65
417,65
418,65
419,65
420,65
421,9
422,65
423,65
424,65
425,65
426,65
427,65
428,65
429,65
430,65
431,65
432,65
433,65
434,9
435,65
436,65
437,65
438,65
439,65
440,65
441,65
442,9
443,65
444,65
445,65
446,65
447,65
448,65
449,65
450,65
451,65
452,65
453,65
454,65
455,65
456,65
457,65
458,65
459,65
460,65
461,65
462,65
463,65
464,65
465,65
466,65
467,65
468,65
469,65
470,65
471,65
472,65
473,65
474,65
475,65
476,65
477,9
478,65
479,65
480,65
481,65
482,65
483,65
484,65
485,65
486,65
487,65
488,65
489,65
490,65
491,65
492,65
493,65
494,65
495,65
496,65
497,65
498,65
499,65
500,65
501,65
502,65
503,65
504,65
505,65
506,65
507,65
508,65
509,65
510,65
511,65
512,65
513,65
514,65
515,65
516,65
517,65
518,65
519,65
520,65
521,65
522,65
523,65
524,65
525,65
526,65
527,65
528,65
529,65
530,9
531,65
532,65
533,65
534,65
535,65
536,65
537,65
538,65
539,65
540,65
541,65
542,65
543,65
544,65
545,65
546,65
547,65
548,65
549,65
550,65
551,65
552,65
553,65
554,65
555,65
556,65
557,65
558,65
559,65
560,65
561,65
562,65
563,9
564,65
565,65
566,65
567,65
568,65
569,65
570,65
571,65
572,65
573,65
574,65
575,65
576,9
577,65
578,65
579,65
580,65
581,65
582,65
583,65
584,65
585,65
586,65
587,65
588,9
589,65
590,65
591,65
592,9
593,65
594,65
595,65
596,65
597,65
598,65
599,65
600,65
601,65
602,65
603,65
604,65
605,65
606,65
607,65
608,9
609,65
610,65
611,9
612,65
613,65
614,65
615,65
616,65
617,65
618,65
619,65
620,65
621,65
622,65
623,65
624,65
625,65
626,65
627,65
628,65
629,65
630,9
631,65
632,65
633,65
634,65
635,65
636,65
637,65
638,65
639,65
640,65
641,65
642,65
643,65
644,65
645,65
646,65
647,65
648,9
649,65
650,65
651,65
652,65
653,65
654,65
655,65
656,65
