,Price,Location,Title,Link,Date,Description
0,"$3,000",Cary,2008 Honda Civic,https://raleigh.craigslist.org/cto/d/cary-2008-honda-civic/7561078447.html,Nov 24,"This is Amy (my daughter names all of our cars).  I bought Amy in 2010 when my oldest child got his license. She was first owned  by a couple that relied upon her for their nanny to drive the children around. 

All of my children learned to drive with Amy and when the oldest graduated college I gifted Amy to him.  Now I am selling her for him as he has finally opted for a new car.

Amy has 197K miles but runs like a top and still looks decent for her age and miles. She has lost her cool (A/C doesn't work) which just didn't bother my son who didn't bother to fix it. I'm not interested in fixing it either so she'll come without working A/C.  She does however have almost brand new tires and has always received timely maintenance since we've owned her. I think she'll go for a long while still. 

My son and the title are in Roanoke but he'll come down to complete a transfer within a day or two for the buyer.

Come see her and drive her.  I won't ride with you and I'll need a copy of a valid driver's license for you to take her out.

Cash or cashier's check required to purchase.
    "
1,"$5,900","Kenly NC,",NC 2005 Buick (low miles),https://raleigh.craigslist.org/ctd/d/kenly-nc-2005-buick-low-miles/7561052460.html,Nov 24,"Nice NC clean title 2005 Buick Lacrosse CXL, just serviced and inspected, V-6 3800 engine, very good on gas, very clean inside and out, good tires, cold ac, miles only 94,000   call 252-289-3187
"
2,"$5,300",Durham,Toyota Avalon Limited 2007,https://raleigh.craigslist.org/cto/d/durham-toyota-avalon-limited-2007/7561036244.html,Nov 24,"I want to sell my car, Toyota Avalon 2007, it has no issue at all, has a good engine and transmission, and is very reliable for short and long distances.
It is described as follow:
""Toyota Avalon is undoubtedly the best American car ever built by a Japanese manufacturer. Granted, it is front-wheel drive, and its exterior dimensions seem smaller than its American counterparts, but the Avalon is full-sized inside and full-sized in its emphasis on quiet, ease, and convenience.""

The car is a clean title.
Title in hand
The price is a bit negotiable
Text me with any questions
Only serious people plz
    "
3,"$8,500","Smithfield, N.C.",2010 MAZDA CX-9 TOURING❤️~~ JZ CARS INC ~~⭐,https://raleigh.craigslist.org/ctd/d/pine-level-2010-mazda-cx-touring-jz/7561033172.html,Nov 24,"DLR#:80341

JZ CARS, INC.
4187 US HWY 70 E.
SMITHFIELD, N.C. 27577
Office #: (919)634-9056 ~~SE HABLA ESPAÑOL

* HOURS: Mon.-Sat. 10am-6pm *

~~ 2010 MAZDA CX-9 ~~
VIN# JM3TB2MA4A0209000

✧Vehicle Cash Price: $8,500
✧We Also Do BUY HERE PAY HERE
✧$4,250 Down (Taxes, Tag & Doc fee not included) and finance the rest at the dealer.
✧We accept Cash, Cashier Check, Money Order, Visa, Master Card, American Express, Discovery and Apple Pay.

-White Exterior 

-Gray Interior 

-Sunroof 

-3 Row 

-Miles:186,453
"
4,"$8,500","Smithfield, N.C.",2010 CHRYSLER SEBRING LIMITED CONVERTIBLE LOW MILES❤️JZ CARS INC ~~⭐,https://raleigh.craigslist.org/ctd/d/pine-level-2010-chrysler-sebring/7561033075.html,Nov 24,"DLR#:80341

JZ CARS, INC.
4187 US HWY 70 E.
SMITHFIELD, N.C. 27577
Office #: (919)634-9056 ~~SE HABLA ESPAÑOL

* HOURS: Mon.-Sat. 10am-6pm *

~~ 2010 CHRYSLER SEBRING ~~
VIN# 1C3BC6EV5AN151531

✧Vehicle Cash Price: $8,500
✧We Also Do BUY HERE PAY HERE
✧$4,250 Down (Taxes, Tag & Doc fee not included) and finance the rest at the dealer.
✧We accept Cash, Cashier Check, Money Order, Visa, Master Card, American Express, Discovery and Apple Pay.

-White Exterior 

-Gray Interior 

-Air Conditioning 

-Leather Seats 

-Convertible 

-Miles:92,110
"
5,"$1,800",raleigh,2006 Dodge Durango Adventurer SUV For Sale,https://raleigh.craigslist.org/ctd/d/raleigh-2006-dodge-durango-adventurer/7561022787.html,Nov 24,"2006 Dodge Durango Adventurer
Automatic - Loaded - 5.7L Hemi - Rear Wheel Drive - Price is 
$1800 

Ricks Repos 
https://www.RicksRepos.com

This SUV came in on a repo and is now ready for resale. It has an automatic 
transmission, loaded with options and overhead play screens. Runs and 
drives. This suv truck is one of MANY vehicles we have here on site that have 
been repossessed and are now ready to be resold. Want a great Deal on a minivan or suv.. check out our inventory of repossessed vehicles that you can save BIG $$ 
on. 


** RICKS REPOS - Repossessed Cars Sold Back To The Public!
** Save Big On Bank Repos!
** Save Big On IRS Repos!
** Save Big On Law Enforcement Repos!
** These Are Online Only Deals! 

** We Hand Pick All Repossessed Cars To Be Resold!
** Visit us Online at www.RicksRepos.com

 ** ABOUT US:
We are an out of state car dealer that specializes in selling cars, trucks, 
  vans and mini-vans that have been repossessed and are cleared for resale. Most 
  of our vehicles are sold significantly under book value. We typically have between 50-85 vehicles on loaction. Feel free to visit our website or contact us with questions or comments. All deals are made online in 3 easy steps.. choose a vehicle, buy it online, set up delivery!
Our Hours:
Monday:  10:00AM - 2:00PM
Tuesday:  10:00AM - 2:00PM
Wednesday:  10:00AM - 2:00PM
Thursday: 10:00AM - 2:00PM
Friday:  10:00AM - 2:00PM
Saturday:  10:00AM - 2:00PM
Sunday: 10:00AM - 2:00PM 
  
  disclaimer: no representations, expressed or implied, to any actual or prospective 
  purchaser or owner of this vehicle as to the existence, ownership, accuracy, 
  description or condition of the listed vehicle's equipment, accessories, price, 
  specials or any warranties on a 2005 chevy regular 2002 box little big 2500 
  ls 2003 motor colorado trucks super z71 2004 towing bed for sale v6 lifted 2005 
  sized double 2001 white 01 hd full mid 2006 heavy duty v8 king triton quad 2007 
  hitch lift ranger 2000 crew ram 1999 bad credit ok Chevy Trucks - Contact us 
  today for more information.

"
6,"$7,000",Chapel Hill,Toyota Prius 2004,https://raleigh.craigslist.org/cto/d/chapel-hill-toyota-prius-2004/7560991761.html,Nov 24,"Price: $7000
Year: 2004
Make: Toyota
Model: Prius
Trim: Liftback 5D 1.5L I4 Hybrid
Odometer: 162,000 miles
Engine:
Transmission:
Color:

Vehicle Options

Power Windows
Power Door Locks
Cruise Control
Aluminum/Alloy Wheels


I have had the car since 2016. It is a great car and still has many miles left on it. I replaced the Hybrid Battery in 2018 and have receipts. Additionally I replaced the rear battery in August. It does have a toe hitch as well. You will be the only owner in town with a tow ready Prius. Call seven, six, 3, four, 0, two, 6, nine, seven, 8 for more info. 


"
7,"$9,500",Holly Springs,2000 Ford Expedition XLT,https://raleigh.craigslist.org/cto/d/holly-springs-2000-ford-expedition-xlt/7560969909.html,Nov 24,"One owner family recreation vehicle. Lots of travel soccer years, vacations and trips.  New tires and recent long term maintenance and flushes. See the window sticker for all the details. Purchased new in Raleigh.  No modifications or accidents. 5.4 engine.  Offers will be entertained.
"
8,"$1,700",Raleigh,2005 workvan,https://raleigh.craigslist.org/cto/d/raleigh-2005-workvan/7560947143.html,Nov 24,"Van cranks DOES NOT start 4.6 engine was running fine when parked delivery available 170k
"
9,"$6,500",Stovall,2006 Mitsubishi Montero Limited,https://raleigh.craigslist.org/cto/d/stovall-2006-mitsubishi-montero-limited/7560939266.html,Nov 24,"Great vehicle. All options including sunroof, 4wheel drive and leather interior. Third row hide away seat. Close to new Yocohama tires. Cal or text no low ballers or scammers. Has cracked windshield. Has service engine light on. This is a really nice vehicle. 9one97one73five99
"
